CustomerID,Lookalikes
C0001,"[('C0137', np.float64(0.9787099243844782)), ('C0152', np.float64(0.9699031854261105)), ('C0056', np.float64(0.854783504743688))]"
C0002,"[('C0029', np.float64(0.9175737453804982)), ('C0199', np.float64(0.8801350917077918)), ('C0031', np.float64(0.8571258583643763))]"
C0003,"[('C0178', np.float64(0.9810265431982853)), ('C0035', np.float64(0.8613274083280847)), ('C0146', np.float64(0.8469961240704097))]"
C0004,"[('C0021', np.float64(0.9534699168220486)), ('C0101', np.float64(0.8717292434596672)), ('C0145', np.float64(0.7619479619590122))]"
C0005,"[('C0073', np.float64(0.9624716182809752)), ('C0159', np.float64(0.9464410696643477)), ('C0112', np.float64(0.9002579883319862))]"
C0006,"[('C0079', np.float64(0.9727296868528018)), ('C0117', np.float64(0.8110938440585455)), ('C0158', np.float64(0.626089576169481))]"
C0007,"[('C0085', np.float64(0.9732905417720904)), ('C0120', np.float64(0.860003073680603)), ('C0042', np.float64(0.7918253767655987))]"
C0008,"[('C0084', np.float64(0.6509968633775228)), ('C0109', np.float64(0.5395607764148439)), ('C0147', np.float64(0.5144768182189736))]"
C0009,"[('C0077', np.float64(0.919313393346095)), ('C0032', np.float64(0.7511143987949289)), ('C0043', np.float64(0.7417639087977352))]"
C0010,"[('C0029', np.float64(0.9260639030626822)), ('C0025', np.float64(0.8701118055918671)), ('C0002', np.float64(0.8549421772035803))]"
C0011,"[('C0107', np.float64(0.9049501725041401)), ('C0183', np.float64(0.893628148491841)), ('C0048', np.float64(0.8930592133673761))]"
C0012,"[('C0155', np.float64(0.8946924610672179)), ('C0122', np.float64(0.8869561272594617)), ('C0108', np.float64(0.7649108536792524))]"
C0013,"[('C0045', np.float64(0.9832293481540527)), ('C0143', np.float64(0.9658194083044486)), ('C0041', np.float64(0.892992230070478))]"
C0014,"[('C0058', np.float64(0.755170692027363)), ('C0151', np.float64(0.7167234360220731)), ('C0128', np.float64(0.6304045864467098))]"
C0015,"[('C0095', np.float64(0.7866385310760547)), ('C0144', np.float64(0.7605179133418748)), ('C0063', np.float64(0.6792994557504425))]"
C0016,"[('C0048', np.float64(0.9772799012564457)), ('C0183', np.float64(0.9765995062481543)), ('C0011', np.float64(0.8748945557353527))]"
C0017,"[('C0162', np.float64(0.9649431559646701)), ('C0113', np.float64(0.958103451277456)), ('C0004', np.float64(0.6891859987924717))]"
C0018,"[('C0200', np.float64(0.9774974495048318)), ('C0170', np.float64(0.8707684639256669)), ('C0187', np.float64(0.8563562685363008))]"
C0019,"[('C0172', np.float64(0.9862473950948801)), ('C0111', np.float64(0.6745554538431613)), ('C0157', np.float64(0.6739530386010452))]"
C0020,"[('C0110', np.float64(0.923279159170148)), ('C0078', np.float64(0.7662068115863465)), ('C0080', np.float64(0.7378910304282572))]"
